"","X","PATENT","GYEAR","GDATE","APPYEAR","COUNTRY","POSTATE","ASSIGNEE","ASSCODE","CLAIMS","NCLASS","CAT","SUBCAT","CMADE","CRECEIVE","RATIOCIT","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","SELFCTUB","SELFCTLB","SECDUPBD","SECDLWBD","logCRECEIVE","CLAIMSORIGINAL"
"466",466,5675285,1997,13794,1995,"US","NJ",722326,2,42,330,4,41,1,5,1,0,0,2,1,0,0,0,0,1.6094379124341,0
"467",467,5394140,1995,12842,1992,"US","FL",386735,2,20,340,2,21,6,6,1,0.2778,0,3.3333,4.8333,0.5,0.5,0.1667,0.1667,1.79175946922805,0
"468",468,5411497,1995,12905,1993,"US","WI",313200,2,27,604,3,32,37,14,0.9189,0.2551,0.6522,2.3571,11.6216,0.3448,0.2703,0.2857,0.2857,2.63905732961526,17.6094
"469",469,5503496,1996,13241,1995,"US","NC",716144,2,5,404,6,69,4,1,1,0,0.625,1,18,0,0,0,0,0,3.125
"470",470,5448288,1995,13031,1993,"JP","",421130,3,13,348,4,49,14,3,1,0,0.4694,2.6667,5.5714,0,0,0,0,1.09861228866811,6.1022
"471",471,5638330,1997,13675,1995,"IT","",507680,3,23,365,2,24,7,2,1,0,0.2449,2,5.2857,0,0,0,0,0.693147180559945,5.6327
"472",472,5603495,1997,13563,1995,"FR","",NA,1,4,473,6,62,5,3,1,0,0.48,2,9.6,NA,NA,NA,NA,1.09861228866811,1.92
"473",473,5394300,1995,12842,1993,"JP","",379245,3,11,361,4,45,2,4,1,0.5,0,3,3,0,0,0,0,1.38629436111989,0
"474",474,5570598,1996,13458,1995,"US","FL",NA,1,5,68,6,63,15,1,0.3333,0,0.32,1,40.4667,NA,NA,NA,NA,0,1.6
"475",475,5490537,1996,13192,1993,"US","CA",NA,1,18,137,6,69,14,1,0.5714,0,0.6875,4,32.7857,NA,NA,NA,NA,0,12.375
"476",476,5589787,1996,13514,1995,"FR","",507670,3,29,327,4,41,6,1,1,0,0.6667,3,6,0,0,0,0,0,19.3343
"477",477,5551228,1996,13395,1995,"US","NY",218550,2,20,60,4,45,8,2,1,0,0,2,11.75,0.1429,0.125,1,1,0.693147180559945,0
"478",478,5447159,1995,13031,1993,"US","MA",357270,2,20,600,3,32,13,4,1,0.375,0.4615,1.5,6.2308,0,0,0,0,1.38629436111989,9.23
"479",479,5723428,1998,13941,1996,"NL","",726215,2,13,510,1,19,11,1,1,0,0.1653,1,8.9091,0.5455,0.5455,1,1,0,2.1489
"480",480,5430710,1995,12968,1992,"CH","",280070,2,8,370,2,21,5,2,1,0.5,0.48,1.5,6.4,0,0,0.5,0.5,0.693147180559945,3.84
"481",481,5499100,1996,13220,1994,"JP","",211480,3,13,356,4,43,2,1,1,0,0.5,3,1,0,0,0,0,0,6.5
"482",482,5544145,1996,13367,1993,"JP","",212000,3,4,369,2,24,9,3,1,0.4444,0.716,3.6667,2.5556,0,0,0,0,1.09861228866811,2.864
"483",483,5397129,1995,12856,1993,"JP","",550400,3,11,473,6,62,10,4,0.9,0.375,0.1975,2.75,10.1,0.1111,0.1,0.25,0.25,1.38629436111989,2.1725
"484",484,5771183,1998,14053,1996,"US","CA",278220,2,18,708,2,22,4,1,1,0,0,0,8.5,0,0,0,0,0,0
"485",485,5396886,1995,12856,1993,"BE","",76070,2,6,600,3,32,5,3,1,0.4444,0.72,3.3333,10.4,0,0,0,0,1.09861228866811,4.32
"486",486,5556928,1996,13409,1995,"US","MI",153420,2,19,526,1,15,1,3,1,0.4444,0,0.6667,3,0,0,0.6667,0.6667,1.09861228866811,0
"487",487,5644334,1997,13696,1996,"US","MA",32940,2,16,345,2,23,8,4,1,0.375,0.2188,0.75,8.375,0.25,0.25,0,0,1.38629436111989,3.5008
"488",488,5816396,1998,14158,1997,"US","CA",NA,1,13,206,6,68,7,1,0.7143,0,0.32,1,24.1429,NA,NA,NA,NA,0,4.16
"489",489,5619016,1997,13612,1995,"US","PA",16995,2,17,174,4,41,23,2,1,0,0.5974,2,8.7826,0,0,0,0,0.693147180559945,10.1558
"490",490,5457149,1995,13066,1993,"US","MN",377880,2,10,525,1,15,38,7,1,0.8571,0.8601,3.7143,10.9474,0.1579,0.1579,0,0,1.94591014905531,8.601
"491",491,5443316,1995,13017,1994,"US","MI",79845,2,24,384,5,59,16,2,0.5625,0.5,0.7654,2.5,30.5,0,0,0,0,0.693147180559945,18.3696
"492",492,5713747,1998,13913,1997,"TW","",701194,2,3,439,4,41,37,1,1,0,0.4894,0,7.3514,0.0294,0.027,0,0,0,1.4682
"493",493,5678450,1997,13808,1994,"US","AL",478275,2,17,73,4,43,10,2,0.4,0.5,0,3.5,33,1,0.2,0,0,0.693147180559945,0
"494",494,5623772,1997,13633,1996,"US","OR",517495,2,10,36,6,63,12,1,1,0,0.625,1,15,0,0,0,0,0,6.25
"495",495,5651781,1997,13724,1995,"US","CO",732112,2,9,606,3,32,4,5,1,0,0.5,1.8,8,0,0,0,0,1.6094379124341,4.5
"496",496,5491480,1996,13192,1994,"TW","",703520,3,10,341,2,22,6,5,1,0,0.2778,1.2,4.5,0.3333,0.3333,0,0,1.6094379124341,2.778
"497",497,5734147,1998,13969,1995,"US","WI",266985,2,32,219,4,49,13,1,0.9231,0,0.6111,3,15.3077,0,0,1,1,0,19.5552
"498",498,5455997,1995,13066,1993,"US","CA",NA,1,10,29,5,52,12,1,0.5833,0,0.449,2,35.6667,NA,NA,NA,NA,0,4.49
"499",499,5516377,1996,13283,1994,"US","UT",385825,2,18,149,1,19,17,14,1,0.4592,0.5398,1.7143,15.0588,0,0,0.2857,0.2857,2.63905732961526,9.7164
"500",500,5583968,1996,13493,1994,"DE","",17020,3,14,704,2,22,3,1,1,0,0.4444,3,2,0,0,0,0,0,6.2216
"501",501,5583974,1996,13493,1994,"US","CA",32940,2,49,345,2,23,37,7,1,0,0.1023,1.7143,4.6486,0.0556,0.0541,0.1429,0.1429,1.94591014905531,5.0127
"502",502,5640257,1997,13682,1995,"CH","",255910,3,32,359,5,54,11,1,1,0,0.5124,3,13.8182,0.1,0.0909,0,0,0,16.3968
"503",503,5815825,1998,14151,1996,"JP","",582975,3,3,701,2,22,22,1,1,0,0.7397,0,6.2727,0,0,0,0,0,2.2191
"504",504,5494867,1996,13206,1994,"US","TX",533930,2,6,501,1,19,17,1,1,0,0.8581,3,7.2941,0.0588,0.0588,0,0,0,5.1486
"505",505,5577605,1996,13479,1995,"DE","",161150,2,12,200,4,41,3,3,1,0,0,2.6667,8.3333,0,0,0,0,1.09861228866811,0
"506",506,5638228,1997,13675,1995,"US","UT",284385,2,16,360,2,24,5,3,1,0.4444,0.72,2,9,0,0,0.6667,0.6667,1.09861228866811,11.52
"507",507,5596627,1997,13535,1995,"US","DC",720978,2,1,379,2,21,33,1,0.9697,0,0.2305,1,12.303,0.069,0.0606,0,0,0,0.2305
"508",508,5422720,1995,12940,1993,"US","PA",57585,2,19,356,4,43,4,1,1,0,0.375,0,7,0.3333,0.25,1,1,0,7.125
"509",509,5653422,1997,13731,1995,"DE","",723592,3,10,251,5,53,4,3,1,0.4444,0.5,2.3333,7,0,0,0,0,1.09861228866811,5
"510",510,5611612,1997,13591,1995,"JP","",317985,3,9,362,4,42,3,2,1,0,0,1,4,0.6667,0.6667,0,0,0.693147180559945,0
"511",511,5407346,1995,12891,1994,"HK","",705628,3,3,431,6,66,10,3,1,0,0,3,2.6,0,0,0,0,1.09861228866811,0
"512",512,5608866,1997,13577,1995,"JP","",395735,3,14,714,2,22,0,1,NA,0,NA,2,NA,NA,NA,0,0,0,NA
"513",513,5812927,1998,14144,1997,"US","CA",343790,2,10,455,2,21,10,1,1,0,0.62,0,3.7,0,0,1,1,0,6.2
"514",514,5552264,1996,13395,1995,"US","NY",160890,2,17,430,1,19,6,5,1,0,0,2,6,0.6667,0.6667,1,1,1.6094379124341,0
"515",515,5467123,1995,13101,1993,"IL","",563495,3,60,348,4,49,8,1,1,0,0.5313,3,3.875,0,0,0,0,0,31.878
"516",516,5410930,1995,12905,1993,"US","CT",221060,2,11,83,5,51,1,1,1,0,0,4,22,1,1,0,0,0,0
"517",517,5650189,1997,13717,1995,"US","ID",731954,2,21,426,6,61,36,1,1,0,0.2855,2,8.9167,0,0,0,0,0,5.9955
"518",518,5768909,1998,14053,1996,"KR","",491065,3,6,62,6,69,8,1,0.625,0,0.72,2,26,0.2,0.125,0,0,0,4.32
"519",519,5578206,1996,13479,1995,"JP","",290780,3,3,210,1,19,9,3,1,0.4444,0.4938,1,12.2222,0,0,0.3333,0.3333,1.09861228866811,1.4814
"520",520,5506418,1996,13248,1995,"FR","",574015,3,11,257,4,46,0,5,NA,0.56,NA,0.8,NA,NA,NA,0.6,0.6,1.6094379124341,NA
"521",521,5782731,1998,14081,1996,"DE","",630385,3,15,493,5,51,13,1,0.6923,0,0.1975,1,30.3846,0.6667,0.4615,0,0,0,2.9625
"522",522,5706769,1998,13892,1995,"JP","",256400,3,6,123,5,53,4,3,1,0,0,2.3333,6.5,0.25,0.25,0.3333,0.3333,1.09861228866811,0
"523",523,5500362,1996,13227,1991,"US","CA",635450,2,9,435,3,33,5,5,1,0.48,0.64,3.6,9.8,0.25,0.2,0.5,0.4,1.6094379124341,5.76
"524",524,5527629,1996,13318,1994,"FR","",682289,3,37,428,6,69,5,4,1,0.625,0.8,1.5,5.6,0,0,0,0,1.38629436111989,29.6
"525",525,5805280,1998,14130,1995,"US","IL",729544,2,23,356,4,43,121,2,0.9917,0.5,0.6686,2.5,7.6942,0,0,0,0,0.693147180559945,15.3778
"526",526,5664914,1997,13766,1994,"JP","",733215,3,15,408,5,51,4,1,0.5,0,0,4,46.5,0,0,0,0,0,0
"527",527,5514625,1996,13276,1995,"JP","",581270,3,14,438,4,46,4,1,1,0,0,1,4.75,0.25,0.25,0,0,0,0
"528",528,5428588,1995,12961,1993,"JP","",672689,3,8,369,2,24,5,4,1,0,0,3,2.2,0,0,0.25,0.25,1.38629436111989,0
"529",529,5680969,1997,13815,1995,"US","WI",698304,2,26,222,1,19,25,6,0.76,0.2778,0,2.3333,17.08,0,0,0.6,0.5,1.79175946922805,0
"530",530,5544751,1996,13374,1995,"US","WI",199895,2,11,206,6,68,5,4,1,0.75,0.72,2,8.2,0,0,0,0,1.38629436111989,7.92
"531",531,5757715,1998,14025,1996,"US","ID",373440,2,21,365,2,24,5,3,1,0.4444,0.56,1.3333,3.8,0.4,0.4,0.6667,0.6667,1.09861228866811,11.76
"532",532,5693288,1997,13850,1996,"JP","",404505,3,13,266,5,52,3,1,0.6667,0,0,0,37.6667,0,0,1,1,0,0
"533",533,5584540,1996,13500,1995,"JP","",13995,3,8,303,5,53,3,6,1,0,0,1.5,3.6667,0.3333,0.3333,0.5,0.5,1.79175946922805,0
"534",534,5623310,1997,13626,1996,"KR","",702374,3,2,348,4,49,3,2,1,0.5,0.4444,0,2.3333,0,0,0.5,0.5,0.693147180559945,0.8888
"535",535,5447875,1995,13031,1994,"US","TX",570160,2,5,438,4,46,8,7,1,0.4082,0,2.4286,4.375,0.375,0.375,0,0,1.94591014905531,0
"536",536,5729246,1998,13955,1996,"JP","",581270,3,16,345,2,23,5,1,1,0,0.32,0,4.8,0,0,0,0,0,5.12
"537",537,5696892,1997,13857,1995,"US","CA",617665,2,16,345,2,23,4,8,1,0.2188,0.375,1.125,5.75,0,0,0,0,2.07944154167984,6
"538",538,5431787,1995,12975,1993,"DE","",550065,3,17,162,1,19,7,2,1,0.5,0,2.5,12,0,0,0,0,0.693147180559945,0
"539",539,5667130,1997,13773,1995,"JP","",358975,3,17,228,5,52,3,1,1,0,0,2,3.6667,0,0,0,0,0,0
"540",540,5613486,1997,13598,1995,"US","GA",620760,2,6,126,6,66,5,1,1,0,0.32,2,7.2,0,0,0,0,0,1.92
"541",541,5638540,1997,13675,1995,"US","UT",730898,2,65,713,2,22,23,2,1,0,0.8582,1.5,8.9565,0,0,0,0,0.693147180559945,55.783
"542",542,5659405,1997,13745,1994,"US","NY",635240,2,34,358,2,21,10,1,1,0,0.48,2,6.9,0.6,0.6,1,1,0,16.32
"543",543,5590449,1997,13521,1994,"DE","",715592,3,35,28,6,63,5,1,1,0,0.8,3,23,0,0,0,0,0,28
"544",544,5601536,1997,13556,1995,"US","UT",57585,2,5,604,3,32,66,1,0.9545,0,0.0917,3,11.7424,0.05,0.0152,1,1,0,0.4585
"545",545,5759070,1998,14032,1996,"US","PA",701194,2,17,439,4,41,13,1,1,0,0,1,5.2308,0.0769,0.0769,0,0,0,0
"546",546,5769496,1998,14053,1997,"US","IL",501805,2,9,297,6,65,6,1,1,0,0,1,16.3333,0,0,0,0,0,0
"547",547,5507359,1996,13255,1994,"JP","",379245,3,6,180,5,55,6,5,1,0.56,0.5,2.6,6,0.3333,0.3333,0.8,0.8,1.6094379124341,3
"548",548,5628279,1997,13647,1995,"US","TX",NA,1,7,119,6,61,9,2,1,0,0,2.5,11,NA,NA,NA,NA,0.693147180559945,0
"549",549,5821606,1998,14165,1997,"JP","",252865,3,45,257,4,46,4,1,1,0,0.375,0,3.25,0.5,0.5,0,0,0,16.875
"550",550,5833607,1998,14193,1996,"US","NJ",512765,2,17,600,3,32,7,1,1,0,0.2449,1,4.2857,0,0,0,0,0,4.1633
"551",551,5647540,1997,13710,1995,"GB","",344245,3,7,239,5,59,4,1,1,0,0,1,10.25,0.25,0.25,1,1,0,0
"552",552,5739742,1998,13983,1996,"JP","",358975,3,25,338,4,41,3,2,1,0.5,0.4444,1,15.3333,0,0,0,0,0.693147180559945,11.11
"553",553,5433679,1995,12982,1993,"US","IL",682023,2,35,482,5,59,13,2,1,0.5,0.8757,3,12.4615,0,0,0,0,0.693147180559945,30.6495
"554",554,5594420,1997,13528,1995,"US","FL",505285,2,35,340,2,21,13,5,1,0,0.7337,2.4,9.2308,0.1,0.0769,0.75,0.6,1.6094379124341,25.6795
"555",555,5544274,1996,13367,1994,"GB","",67515,2,17,388,4,45,12,2,1,0.5,0.625,4,17.8333,0.1111,0.0833,0,0,0.693147180559945,10.625
"556",556,5545665,1996,13374,1993,"US","CA",19170,2,29,514,3,31,17,2,1,0,0.5536,3,11.2353,0.2857,0.2353,1,1,0.693147180559945,16.0544
"557",557,5637056,1997,13675,1995,"KR","",711029,3,20,477,5,53,5,1,1,0,0,1,7.6,0.2,0.2,1,1,0,0
"558",558,5591481,1997,13521,1995,"JP","",358975,3,3,427,1,12,13,2,1,0.5,0.426,2,8.3846,0.0769,0.0769,0,0,0.693147180559945,1.278
"559",559,5458342,1995,13073,1994,"US","TX",NA,1,10,273,6,62,7,3,1,0.4444,0,1.6667,10.2857,NA,NA,NA,NA,1.09861228866811,0
"560",560,5434356,1995,12982,1994,"US","IL",NA,1,15,174,4,41,5,1,0.6,0,0.4444,3,26.2,NA,NA,NA,NA,0,6.666
"561",561,5458413,1995,13073,1995,"AT","",298825,3,6,312,6,65,2,2,1,0,0,0.5,9,0.5,0.5,0.5,0.5,0.693147180559945,0
"562",562,5380262,1995,12793,1994,"US","CA",NA,1,19,482,5,59,3,3,0.6667,0.4444,0.5,1.6667,27.3333,NA,NA,NA,NA,1.09861228866811,9.5
"563",563,5771644,1998,14060,1996,"US","OH",NA,1,28,52,6,69,23,1,0.6087,0,0.2449,1,37.6522,NA,NA,NA,NA,0,6.8572
"564",564,5555477,1996,13402,1993,"JP","",252865,3,5,359,5,54,9,8,1,0,0.3704,3.125,3.5556,0,0,0.5,0.5,2.07944154167984,1.852
"565",565,5623636,1997,13626,1993,"US","TX",386735,2,13,711,2,24,2,2,1,0.5,0,3,4,0,0,0,0,0.693147180559945,0
"566",566,5476738,1995,13136,1994,"US","TX",280070,2,4,430,1,19,6,3,1,0,0.7778,1.6667,7.1667,0.1667,0.1667,0,0,1.09861228866811,3.1112
"567",567,5477450,1995,13136,1994,"JP","",280070,2,9,704,2,22,5,2,1,0,0,2,2,0,0,0.5,0.5,0.693147180559945,0
"568",568,5559357,1996,13416,1995,"US","CA",NA,1,9,257,4,46,5,6,1,0.4444,0.48,3,7.4,NA,NA,NA,NA,1.79175946922805,4.32
"569",569,5644676,1997,13696,1995,"FI","",277105,3,25,392,4,41,13,4,1,0.625,0.8047,1.5,7.5385,0.0769,0.0769,0,0,1.38629436111989,20.1175
"570",570,5460908,1995,13080,1994,"US","CT",373440,2,16,430,1,19,3,7,1,0.6122,0.4444,3,6.6667,0,0,0,0,1.94591014905531,7.1104
"571",571,5533004,1996,13332,1994,"US","IL",386735,2,23,370,2,21,8,3,1,0.4444,0.5313,2,3.75,0,0,0,0,1.09861228866811,12.2199
"572",572,5426860,1995,12961,1994,"CA","",332605,3,7,33,6,69,8,1,0,0,NA,3,69.625,0,0,1,1,0,NA
"573",573,5407707,1995,12891,1993,"US","PA",450155,2,10,427,1,12,11,3,1,0.6667,0.6446,3.3333,9.8182,0.0909,0.0909,0,0,1.09861228866811,6.446
"574",574,5544500,1996,13374,1994,"CH","",570775,3,5,66,6,63,1,3,1,0,0,2.6667,29,0,0,0.5,0.3333,1.09861228866811,0
"575",575,5578796,1996,13479,1995,"US","NY",280070,2,10,174,4,41,12,6,1,0.7222,0.7778,0.6667,5.9167,0,0,0.1667,0.1667,1.79175946922805,7.778
"576",576,5463831,1995,13094,1993,"JP","",582440,3,7,49,5,59,6,3,1,0.4444,0.2778,3.6667,8.1667,0.1667,0.1667,0.3333,0.3333,1.09861228866811,1.9446
"577",577,5432089,1995,12975,1993,"US","NE",547775,2,17,436,1,19,12,5,1,0,0.7361,4,9.5833,0,0,0,0,1.6094379124341,12.5137
"578",578,5384260,1995,12807,1993,"US","TX",600015,2,21,436,1,19,5,2,1,0,0.8,2,4.4,0.3333,0.2,0,0,0.693147180559945,16.8
"579",579,5542866,1996,13367,1994,"TW","",703520,3,12,445,4,42,4,1,1,0,0.625,3,3.75,0.25,0.25,0,0,0,7.5
"580",580,5727752,1998,13955,1996,"JP","",703392,3,3,242,5,51,8,1,1,0,0,1,11.75,0,0,0,0,0,0
"581",581,5696382,1997,13857,1996,"KR","",264195,3,3,250,4,44,13,1,1,0,0.5444,1,6.6154,0,0,0,0,0,1.6332
"582",582,5602636,1997,13556,1995,"JP","",87490,3,26,399,5,54,1,4,1,0,0,1,5,0,0,0,0,1.38629436111989,0
"583",583,5623973,1997,13633,1995,"SE","",285195,3,19,139,6,63,6,1,1,0,0.5,3,7.3333,0.1667,0.1667,0,0,0,9.5
"584",584,5425476,1995,12954,1994,"ES","",384320,3,13,222,1,19,10,2,1,0,0,1.5,11.3,0.1111,0.1,0,0,0.693147180559945,0
"585",585,5446735,1995,13024,1992,"US","CA",744983,2,27,370,2,21,3,20,1,0.63,0.4444,3.7,9.3333,0,0,0,0,2.99573227355399,11.9988
"586",586,5575604,1996,13472,1995,"US","OH",566445,3,13,414,5,51,9,2,1,0,0.4938,2,13.4444,0.5,0.2222,0,0,0.693147180559945,6.4194
"587",587,5608997,1997,13584,1996,"CA","",NA,1,12,52,6,69,8,2,1,0,0.2188,1.5,7.625,NA,NA,NA,NA,0.693147180559945,2.6256
"588",588,5451163,1995,13045,1993,"US","TX",NA,4,10,434,6,69,15,1,0.8667,0,0.3787,4,16.5333,NA,NA,NA,NA,0,3.787
"589",589,5457466,1995,13066,1993,"US","VA",340135,2,7,342,2,21,2,8,1,0,0,3,22.5,1,1,0.25,0.25,2.07944154167984,0
"590",590,5401400,1995,12870,1993,"CA","",NA,1,3,210,1,19,7,1,1,0,0,2,8.7143,NA,NA,NA,NA,0,0
"591",591,5395205,1995,12849,1993,"US","MI",455845,2,20,414,5,51,8,2,1,0,0.5938,3,11.75,0.1667,0.125,0,0,0.693147180559945,11.876
"592",592,5469052,1995,13108,1993,"US","WA",19715,2,34,324,4,43,1,1,1,0,0,3,2,0,0,0,0,0,0
"593",593,5778675,1998,14074,1997,"US","NJ",167035,2,30,60,4,45,38,1,0.9737,0,0.1928,0,10.8684,0.0313,0.0263,0,0,0,5.784
"594",594,5530204,1996,13325,1993,"JP","",264485,3,6,174,4,41,9,2,1,0,0.7901,2.5,6.1111,0.3333,0.3333,0,0,0.693147180559945,4.7406
"595",595,5422809,1995,12940,1993,"US","MD",711879,2,31,705,2,22,7,10,1,0.58,0.6122,3,4.8571,0,0,0,0,2.30258509299405,18.9782
"596",596,5580351,1996,13486,1994,"US","IL",735,2,7,604,3,32,2,1,1,0,0,3,1.5,0,0,0,0,0,0
"597",597,5521515,1996,13297,1995,"US","MD",597260,6,20,324,4,43,11,1,1,0,0.18,2,11.2727,0.5714,0.3636,0,0,0,3.6
"598",598,5581484,1996,13486,1994,"US","CA",NA,1,16,702,2,22,21,5,1,0.56,0.8934,2.6,6.9048,NA,NA,NA,NA,1.6094379124341,14.2944
"599",599,5625553,1997,13633,1994,"JP","",508240,3,28,704,2,22,1,2,1,0,0,1.5,7,0,0,0,0,0.693147180559945,0
"600",600,5529886,1996,13325,1995,"DE","",254145,3,12,430,1,19,13,1,1,0,0.3905,0,13.9231,0.4615,0.4615,1,1,0,4.686
"601",601,5422116,1995,12940,1994,"US","GA",104245,2,21,424,3,31,1,6,1,0.5,0,2,1,0,0,0,0,1.79175946922805,0
"602",602,5518083,1996,13290,1995,"US","WI",NA,1,1,182,6,65,10,2,0.6,0.5,0.4444,2,30.3,NA,NA,NA,NA,0.693147180559945,0.4444
"603",603,5655069,1997,13731,1996,"JP","",211480,3,28,714,2,22,9,2,1,0.5,0.1975,1,6.2222,0,0,0.5,0.5,0.693147180559945,5.53
"604",604,5633028,1997,13661,1996,"US","NJ",474325,2,13,426,6,61,16,1,1,0,0.7188,0,15.875,0,0,0,0,0,9.3444
"605",605,5699546,1997,13864,1995,"JP","",87490,3,74,711,2,24,4,1,1,0,0.625,1,1.5,0.25,0.25,0,0,0,46.25
"606",606,5407907,1995,12891,1993,"JP","",282136,3,19,505,4,46,2,4,1,0.375,0.5,1.75,7,0,0,0.75,0.75,1.38629436111989,9.5
"607",607,5392905,1995,12842,1994,"DE","",203050,3,8,206,6,68,8,1,0.875,0,0.5714,3,12.125,0.2857,0.25,0,0,0,4.5712
"608",608,5575150,1996,13472,1995,"US","NY",703931,2,11,60,4,45,11,1,0.9091,0,0.74,2,17.8182,0,0,0,0,0,8.14
"609",609,5625136,1997,13633,1992,"US","NC",104245,2,25,800,3,33,2,1,1,0,0.5,4,2,0,0,0,0,0,12.5
"610",610,5519917,1996,13297,1994,"US","MI",720819,2,23,16,5,59,15,5,0.6,0.48,0.6173,2.6,32.9333,0,0,0,0,1.6094379124341,14.1979
"611",611,5636085,1997,13668,1995,"US","UT",284385,2,13,360,2,24,17,2,1,0,0,2,8.7059,0.2308,0.1765,0,0,0.693147180559945,0
"612",612,5397998,1995,12856,1992,"JP","",211480,3,32,324,4,43,11,2,1,0.5,0.7438,5.5,8.0909,0,0,0,0,0.693147180559945,23.8016
"613",613,5419878,1995,12933,1994,"JP","",492190,3,4,422,1,19,2,4,1,0.625,0,2,4.5,0,0,0,0,1.38629436111989,0
"614",614,5582694,1996,13493,1994,"US","ID",726321,2,3,203,1,19,8,1,1,0,0.75,3,9,0,0,0,0,0,2.25
"615",615,5684114,1997,13822,1995,"US","OR",703986,2,4,528,1,15,5,1,1,0,0.48,3,10.2,0,0,0,0,0,1.92
"616",616,5695859,1997,13857,1995,"US","PA",NA,1,18,428,6,69,47,2,0.9787,0.5,0.6975,2,12.1915,NA,NA,NA,NA,0.693147180559945,12.555
"617",617,5591331,1997,13521,1995,"US","KY",NA,1,7,210,1,19,9,3,0.8889,0,0.4063,2.6667,13.4444,NA,NA,NA,NA,1.09861228866811,2.8441
"618",618,5709761,1998,13899,1994,"JP","",52505,3,19,156,1,19,9,1,0.8889,0,0,3,25.8889,0,0,0,0,0,0
"619",619,5544689,1996,13374,1994,"US","WI",NA,1,7,160,6,69,42,2,0.4286,0.5,0.5185,2.5,46.4524,NA,NA,NA,NA,0.693147180559945,3.6295
"620",620,5522717,1996,13304,1995,"JP","",581760,3,4,425,5,51,13,1,1,0,0.6036,1,7.6923,0.6923,0.6923,0,0,0,2.4144
"621",621,5644758,1997,13696,1994,"US","WA",373780,2,16,345,2,23,2,3,1,0.4444,0,1.6667,4,0,0,0.3333,0.3333,1.09861228866811,0
"622",622,5486691,1996,13171,1993,"DE","",179615,3,17,250,4,44,1,1,1,0,0,2,11,0,0,0,0,0,0
"623",623,5399005,1995,12863,1993,"US","IA",709677,2,6,312,6,65,10,2,0.5,0.5,0.56,5,29.6,0,0,0,0,0.693147180559945,3.36
"624",624,5725272,1998,13948,1996,"US","MI",697003,2,16,296,5,55,11,2,1,0,0.314,1.5,15.3636,0.125,0.0909,0,0,0.693147180559945,5.024
"625",625,5711100,1998,13906,1993,"US","FL",NA,1,6,40,6,69,7,2,0.8571,0,0.4444,4,20.7143,NA,NA,NA,NA,0.693147180559945,2.6664
"626",626,5608309,1997,13577,1994,"JP","",252865,3,26,322,4,45,5,1,1,0,0.48,3,7.4,0.4,0.4,0,0,0,12.48
"627",627,5740081,1998,13983,1995,"JP","",189365,3,5,702,2,22,2,2,1,0.5,0,1.5,2.5,0,0,0,0,0.693147180559945,0
"628",628,5491823,1996,13192,1994,"US","MA",514145,2,16,395,2,22,3,10,1,0,0,1.5,3.6667,0,0,0,0,2.30258509299405,0
"629",629,5690321,1997,13843,1996,"JP","",360475,3,20,267,5,59,3,1,1,0,0.6667,1,7.6667,0,0,0,0,0,13.334
"630",630,5684286,1997,13822,1995,"US","CA",716916,2,16,235,5,59,25,2,1,0,0.3488,1.5,12.36,0,0,0,0,0.693147180559945,5.5808
"631",631,5519833,1996,13290,1992,"US","MA",116575,2,18,709,2,22,11,8,1,0.5313,0.1653,4.125,4,0,0,0,0,2.07944154167984,2.9754
"632",632,5548718,1996,13381,1994,"US","WA",373780,2,13,714,2,22,8,7,1,0.4898,0.5625,1.8571,6.25,0,0,0,0,1.94591014905531,7.3125
"633",633,5630788,1997,13654,1994,"US","CA",687477,2,18,600,3,32,21,3,1,0.4444,0.5805,3.3333,9.8095,0.0476,0.0476,0,0,1.09861228866811,10.449
"634",634,5759754,1998,14032,1996,"US","NY",160890,2,10,430,1,19,7,5,1,0,0.2449,1.4,14.1429,1,1,0.6,0.6,1.6094379124341,2.449
"635",635,5699057,1997,13864,1996,"JP","",210840,3,20,340,2,21,5,3,1,0.6667,0.64,1.3333,1.4,0.4,0.4,0,0,1.09861228866811,12.8
"636",636,5787723,1998,14095,1996,"US","WI",740533,2,28,62,6,69,23,1,0.913,0,0.0907,2,13.6957,0,0,1,1,0,2.5396
"637",637,5588086,1996,13507,1993,"US","CA",708469,2,31,385,2,21,6,2,1,0,0.5,4,6,0,0,0,0,0.693147180559945,15.5
"638",638,5607930,1997,13577,1995,"IT","",70030,3,12,514,3,31,1,1,1,0,0,2,2,1,1,0,0,0,0
"639",639,5411183,1995,12905,1993,"DE","",622550,3,10,222,1,19,10,1,1,0,0.64,1,18.3,0,0,0,0,0,6.4
"640",640,5398089,1995,12856,1994,"US","NY",160890,2,6,396,5,54,16,2,1,0,0.2266,2,11,0.0625,0.0625,1,1,0.693147180559945,1.3596
"641",641,5508989,1996,13255,1995,"JP","",532110,3,10,369,2,24,8,4,1,0.375,0.2188,1.75,4.125,0.25,0.25,0,0,1.38629436111989,2.188
"642",642,5682147,1997,13815,1995,"US","FL",386735,2,20,340,2,21,15,4,1,0.375,0.6667,1.25,5.9333,0.6,0.6,0.25,0.25,1.38629436111989,13.334
"643",643,5393392,1995,12842,1994,"US","MA",140840,2,32,205,1,19,2,2,1,0,0.5,2,3.5,1,1,0,0,0.693147180559945,16
